"Nome","Número na Pokédex","Tipo Primário","Tipo Secundário","Geração","Total de Pontos Base","Estágio de Evolução","Quantidade de Evoluções"
"impidimp",859,"dark","fairy","generation-viii",265,1,3
"morgrem",860,"dark","fairy","generation-viii",370,2,3
"grimmsnarl",861,"dark","fairy","generation-viii",510,3,3
"obstagoon",862,"dark","normal","generation-viii",520,3,3
"perrserker",863,"steel","N/A","generation-viii",440,2,2
"cursola",864,"ghost","N/A","generation-viii",510,2,2
"sirfetchd",865,"fighting","N/A","generation-viii",507,2,2
"mr-rime",866,"ice","psychic","generation-viii",520,3,3
"runerigus",867,"ground","ghost","generation-viii",483,2,2
"milcery",868,"fairy","N/A","generation-viii",270,1,2
"alcremie",869,"fairy","N/A","generation-viii",495,2,2
"falinks",870,"fighting","N/A","generation-viii",470,1,1
"pincurchin",871,"electric","N/A","generation-viii",435,1,1
"snom",872,"ice","bug","generation-viii",185,1,2
"frosmoth",873,"ice","bug","generation-viii",475,2,2
"stonjourner",874,"rock","N/A","generation-viii",470,1,1
"eiscue-ice",875,"ice","N/A","generation-viii",470,1,1
"indeedee-male",876,"psychic","normal","generation-viii",475,1,1
"morpeko-full-belly",877,"electric","dark","generation-viii",436,1,1
"cufant",878,"steel","N/A","generation-viii",330,1,2
"copperajah",879,"steel","N/A","generation-viii",500,2,2
"dracozolt",880,"electric","dragon","generation-viii",505,1,1
"arctozolt",881,"electric","ice","generation-viii",505,1,1
"dracovish",882,"water","dragon","generation-viii",505,1,1
"arctovish",883,"water","ice","generation-viii",505,1,1
"duraludon",884,"steel","dragon","generation-viii",535,1,2
"dreepy",885,"dragon","ghost","generation-viii",270,1,3
"drakloak",886,"dragon","ghost","generation-viii",410,2,3
"dragapult",887,"dragon","ghost","generation-viii",600,3,3
"zacian",888,"fairy","N/A","generation-viii",660,1,1
"zacian-crowned",888,"fairy","steel","generation-viii",700,1,1
"zamazenta",889,"fighting","N/A","generation-viii",660,1,1
"zamazenta-crowned",889,"fighting","steel","generation-viii",700,1,1
"eternatus",890,"poison","dragon","generation-viii",690,1,1
"kubfu",891,"fighting","N/A","generation-viii",385,1,2
"urshifu-single-strike",892,"fighting","dark","generation-viii",550,2,2
"urshifu-rapid-strike",892,"fighting","water","generation-viii",550,2,2
"zarude",893,"dark","grass","generation-viii",600,1,1
"regieleki",894,"electric","N/A","generation-viii",580,1,1
"regidrago",895,"dragon","N/A","generation-viii",580,1,1
"glastrier",896,"ice","N/A","generation-viii",580,1,1
"spectrier",897,"ghost","N/A","generation-viii",580,1,1
"calyrex",898,"psychic","grass","generation-viii",500,1,1
"calyrex-ice",898,"psychic","ice","generation-viii",680,1,1
"calyrex-shadow",898,"psychic","ghost","generation-viii",680,1,1
"wyrdeer",899,"normal","psychic","generation-viii",525,2,2
"kleavor",900,"bug","rock","generation-viii",500,2,2
"ursaluna",901,"ground","normal","generation-viii",550,3,3
"ursaluna-bloodmoon",901,"ground","normal","generation-viii",555,3,3
"basculegion-male",902,"water","ghost","generation-viii",530,2,2
"sneasler",903,"fighting","poison","generation-viii",510,2,2
"overqwil",904,"dark","poison","generation-viii",510,2,2
"enamorus-incarnate",905,"fairy","flying","generation-viii",580,1,1
"sprigatito",906,"grass","N/A","generation-ix",310,1,3
"floragato",907,"grass","N/A","generation-ix",410,2,3
"meowscarada",908,"grass","dark","generation-ix",530,3,3
"fuecoco",909,"fire","N/A","generation-ix",310,1,3
"crocalor",910,"fire","N/A","generation-ix",411,2,3
"skeledirge",911,"fire","ghost","generation-ix",530,3,3
"quaxly",912,"water","N/A","generation-ix",310,1,3
"quaxwell",913,"water","N/A","generation-ix",410,2,3
"quaquaval",914,"water","fighting","generation-ix",530,3,3
"lechonk",915,"normal","N/A","generation-ix",254,1,2
"oinkologne-male",916,"normal","N/A","generation-ix",489,2,2
"tarountula",917,"bug","N/A","generation-ix",210,1,2
"spidops",918,"bug","N/A","generation-ix",404,2,2
"nymble",919,"bug","N/A","generation-ix",210,1,2
"lokix",920,"bug","dark","generation-ix",450,2,2
"pawmi",921,"electric","N/A","generation-ix",240,1,3
"pawmo",922,"electric","fighting","generation-ix",350,2,3
"pawmot",923,"electric","fighting","generation-ix",490,3,3
"tandemaus",924,"normal","N/A","generation-ix",305,1,2
"maushold-family-of-four",925,"normal","N/A","generation-ix",470,2,2
"fidough",926,"fairy","N/A","generation-ix",312,1,2
"dachsbun",927,"fairy","N/A","generation-ix",477,2,2
"smoliv",928,"grass","normal","generation-ix",260,1,3
"dolliv",929,"grass","normal","generation-ix",354,2,3
"arboliva",930,"grass","normal","generation-ix",510,3,3
"squawkabilly-green-plumage",931,"normal","flying","generation-ix",417,1,1
"nacli",932,"rock","N/A","generation-ix",280,1,3
"naclstack",933,"rock","N/A","generation-ix",355,2,3
"garganacl",934,"rock","N/A","generation-ix",500,3,3
"charcadet",935,"fire","N/A","generation-ix",255,1,2
"armarouge",936,"fire","psychic","generation-ix",525,2,2
"ceruledge",937,"fire","ghost","generation-ix",525,2,2
"tadbulb",938,"electric","N/A","generation-ix",272,1,2
"bellibolt",939,"electric","N/A","generation-ix",495,2,2
"wattrel",940,"electric","flying","generation-ix",280,1,2
"kilowattrel",941,"electric","flying","generation-ix",490,2,2
"maschiff",942,"dark","N/A","generation-ix",340,1,2
"mabosstiff",943,"dark","N/A","generation-ix",505,2,2
"shroodle",944,"poison","normal","generation-ix",290,1,2
"grafaiai",945,"poison","normal","generation-ix",485,2,2
"bramblin",946,"grass","ghost","generation-ix",275,1,2
"brambleghast",947,"grass","ghost","generation-ix",480,2,2
"toedscool",948,"ground","grass","generation-ix",335,1,2
"toedscruel",949,"ground","grass","generation-ix",515,2,2
"klawf",950,"rock","N/A","generation-ix",450,1,1
"capsakid",951,"grass","N/A","generation-ix",304,1,2
"scovillain",952,"grass","fire","generation-ix",486,2,2
"rellor",953,"bug","N/A","generation-ix",270,1,2
"rabsca",954,"bug","psychic","generation-ix",470,2,2
"flittle",955,"psychic","N/A","generation-ix",255,1,2
"espathra",956,"psychic","N/A","generation-ix",481,2,2
"tinkatink",957,"fairy","steel","generation-ix",297,1,3
"tinkatuff",958,"fairy","steel","generation-ix",380,2,3
"tinkaton",959,"fairy","steel","generation-ix",506,3,3
"wiglett",960,"water","N/A","generation-ix",245,1,2
"wugtrio",961,"water","N/A","generation-ix",425,2,2
"bombirdier",962,"flying","dark","generation-ix",485,1,1
"finizen",963,"water","N/A","generation-ix",315,1,2
"palafin-zero",964,"water","N/A","generation-ix",457,2,2
"palafin-hero",964,"water","N/A","generation-ix",650,2,2
"varoom",965,"steel","poison","generation-ix",300,1,2
"revavroom",966,"steel","poison","generation-ix",500,2,2
"cyclizar",967,"dragon","normal","generation-ix",501,1,1
"orthworm",968,"steel","N/A","generation-ix",480,1,1
"glimmet",969,"rock","poison","generation-ix",350,1,2
"glimmora",970,"rock","poison","generation-ix",525,2,2
"greavard",971,"ghost","N/A","generation-ix",290,1,2
"houndstone",972,"ghost","N/A","generation-ix",488,2,2
"flamigo",973,"flying","fighting","generation-ix",500,1,1
"cetoddle",974,"ice","N/A","generation-ix",334,1,2
"cetitan",975,"ice","N/A","generation-ix",521,2,2
"veluza",976,"water","psychic","generation-ix",478,1,1
"dondozo",977,"water","N/A","generation-ix",530,1,1
"tatsugiri-curly",978,"dragon","water","generation-ix",475,1,1
"annihilape",979,"fighting","ghost","generation-ix",535,3,3
"clodsire",980,"poison","ground","generation-ix",430,2,2
"farigiraf",981,"normal","psychic","generation-ix",520,2,2
"dudunsparce-two-segment",982,"normal","N/A","generation-ix",520,2,2
"kingambit",983,"dark","steel","generation-ix",550,3,3
"great-tusk",984,"ground","fighting","generation-ix",570,1,1
"scream-tail",985,"fairy","psychic","generation-ix",570,1,1
"brute-bonnet",986,"grass","dark","generation-ix",570,1,1
"flutter-mane",987,"ghost","fairy","generation-ix",570,1,1
"slither-wing",988,"bug","fighting","generation-ix",570,1,1
"sandy-shocks",989,"electric","ground","generation-ix",570,1,1
"iron-treads",990,"ground","steel","generation-ix",570,1,1
"iron-bundle",991,"ice","water","generation-ix",570,1,1
"iron-hands",992,"fighting","electric","generation-ix",570,1,1
"iron-jugulis",993,"dark","flying","generation-ix",570,1,1
"iron-moth",994,"fire","poison","generation-ix",570,1,1
"iron-thorns",995,"rock","electric","generation-ix",570,1,1
"frigibax",996,"dragon","ice","generation-ix",320,1,3
"arctibax",997,"dragon","ice","generation-ix",423,2,3
"baxcalibur",998,"dragon","ice","generation-ix",600,3,3
"gimmighoul",999,"ghost","N/A","generation-ix",300,1,2
"gholdengo",1000,"steel","ghost","generation-ix",550,2,2
"wo-chien",1001,"dark","grass","generation-ix",570,1,1
"chien-pao",1002,"dark","ice","generation-ix",570,1,1
"ting-lu",1003,"dark","ground","generation-ix",570,1,1
"chi-yu",1004,"dark","fire","generation-ix",570,1,1
"roaring-moon",1005,"dragon","dark","generation-ix",590,1,1
"iron-valiant",1006,"fairy","fighting","generation-ix",590,1,1
"koraidon",1007,"fighting","dragon","generation-ix",670,1,1
"miraidon",1008,"electric","dragon","generation-ix",670,1,1
"walking-wake",1009,"water","dragon","generation-ix",590,1,1
"iron-leaves",1010,"grass","psychic","generation-ix",590,1,1
"dipplin",1011,"grass","dragon","generation-ix",485,2,3
"poltchageist",1012,"grass","ghost","generation-ix",308,1,2
"sinistcha",1013,"grass","ghost","generation-ix",508,2,2
"okidogi",1014,"poison","fighting","generation-ix",555,1,1
"munkidori",1015,"poison","psychic","generation-ix",555,1,1
"fezandipiti",1016,"poison","fairy","generation-ix",555,1,1
"ogerpon",1017,"grass","N/A","generation-ix",550,1,1
"ogerpon-wellspring-mask",1017,"grass","water","generation-ix",550,1,1
"ogerpon-hearthflame-mask",1017,"grass","fire","generation-ix",550,1,1
"ogerpon-cornerstone-mask",1017,"grass","rock","generation-ix",550,1,1
"archaludon",1018,"steel","dragon","generation-ix",600,2,2
"hydrapple",1019,"grass","dragon","generation-ix",540,3,3
"gouging-fire",1020,"fire","dragon","generation-ix",590,1,1
"raging-bolt",1021,"electric","dragon","generation-ix",590,1,1
"iron-boulder",1022,"rock","psychic","generation-ix",590,1,1
"iron-crown",1023,"steel","psychic","generation-ix",590,1,1
"terapagos",1024,"normal","N/A","generation-ix",450,1,1
"terapagos-terastal",1024,"normal","N/A","generation-ix",600,1,1
"terapagos-stellar",1024,"normal","N/A","generation-ix",700,1,1
"pecharunt",1025,"poison","ghost","generation-ix",600,1,1
